Latitude,Longitude,typeofdata
37.3071033,-122.0042346,police
37.2975932,-121.9498596,police
37.4001643,-121.9242246,police
37.3465523,-121.8172706,police
37.2988152,-121.9544758,police
37.3441132,-121.8363005,police
37.3513714,-121.7999928,police
37.4001643,-121.9242246,police
37.304379,-121.9660669,police
37.3052275,-121.7572673,police
37.3580013,-121.8318615,police
37.363019,-121.833858,police
37.250574,-121.8559026,police
37.3627717,-121.9075053,police
37.3145979,-121.7909374,police
37.3131057,-121.8358202,police
37.4159199,-121.8564312,police
37.3252443,-121.9105295,police
37.34638899999999,-121.8378741,police
37.3364111,-121.8987092,police
37.2744939,-121.8499425,police
37.3046624,-121.9171256,police
37.3610478,-121.8336592,police
37.3044767,-121.8519822,police
37.3098407,-121.8534545,police
37.37307759999999,-121.8935269,police
37.3387069,-121.8852586,police
37.27511430000001,-121.8400636,police
37.3232725,-121.9145712,police
37.2346267,-121.8247856,police
37.3515479,-121.8424532,police
37.3866988,-121.8605132,police
37.373132,-121.9117766,police
37.2616859,-121.9314235,police
37.2619309,-121.9211102,police
37.2282538,-121.7614609,police
37.3234501,-121.9137937,police
37.259023,-121.8756033,police
37.393588,-121.9195142,police
37.3413058,-121.9229667,police
37.2497124,-121.7923794,police
37.3512972,-121.8956122,police
37.3328773,-121.8264754,police
37.3523121,-121.9057168,police
37.3441128,-121.8733797,police
37.3134809,-121.878168,police
37.1990025,-121.8311796,police
37.3347199,-121.8879052,police
37.3617952,-121.9095396,police
37.4155647,-121.8747618,police
37.3187271,-121.8224334,police
37.3167434,-121.8860009,police
37.2939331,-121.9184215,police
37.2671414,-121.8093124,police
37.320197,-121.8843048,police
37.3657222,-121.8859013,police
37.3476966,-121.884846,police
37.3560398,-121.8638599,police
37.3331114,-121.8753947,police
37.3455774,-121.8832714,police
37.33874,-121.8852525,police
37.2497124,-121.7923794,police
37.3695979,-121.8719662,police
37.3002641,-121.9227108,police
37.2927867,-121.8504365,police
37.2814884,-121.8861087,police
37.329481,-121.8080374,police
37.3071462,-121.9545739,police
37.3423295,-121.8236556,police
37.3311101,-121.8128426,police
37.2989979,-121.9996464,police
37.3537986,-121.8964914,police
37.3535657,-121.8537644,police
37.3094937,-121.8484682,police
37.2658644,-121.8642675,police
37.236829,-121.8305522,police
37.3153345,-121.8178914,police
37.33874,-121.8852525,police
37.3514936,-121.8261463,police
37.3363511,-121.8849563,police
37.2507211,-121.8397372,police
37.3175144,-121.8289515,police
37.3516754,-121.8150886,police
37.2982597,-121.8154173,police
37.387946,-121.8454165,police
37.3082995,-121.9006953,police
37.2918144,-121.9942394,police
37.3095062,-121.8307302,police
37.3128992,-121.8215446,police
37.33184500000001,-121.9268428,police
37.3128992,-121.8215446,police
37.2428559,-121.9058805,police
37.2515957,-121.7992214,police
37.2982597,-121.8154173,police
37.2468005,-121.8038797,police
37.3562014,-121.8426475,police
37.2966562,-121.9866591,police
37.2884739,-121.8867626,police
37.2418629,-121.9047456,police
37.3494972,-121.8811155,police
37.345654,-121.8706407,police
37.3263891,-121.9464068,police
37.3015517,-121.9498768,police
37.3451867,-121.8716238,police
37.3751135,-121.8356205,police
37.2483727,-121.8030736,police
37.3018243,-121.9251833,police
37.30143229999999,-121.8583069,police
