CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
682960,CR-0000092543,0,0,0,0,22-162-0927,False,False,100.0,6/11/2022 10:21:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Not Functioning,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,True,22857,BOYNTON AV,STARBIRD CI,37.30653479,-121.9660472
722358,CR-0000103652,0,0,0,0,24-092-0028,False,False,32.0,4/1/2024 12:53:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Unknown,Clear,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,True,True,22846,BOYNTON AV,RHODA DR,37.3048147,-121.9660411
688796,CR-0000094642,0,0,0,0,22-303-4002,False,True,,10/30/2022 3:30:00 AM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other,Related,Unknown,Not Applicable,Not Applicable,West Of,,False,True,22912,BOYNTON AV,WOODCREEK LN,37.3040967,-121.9660489
711523,CR-0000101025,0,0,0,0,23-256-0516,False,False,190.0,9/13/2023 3:10:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,True,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
689806,CR-0000095832,1,0,0,0,22-262-0209,False,False,238.0,9/19/2022 8:10:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Vehicle/Bike,Non-Related,Bike,Not Applicable,Not Applicable,South Of,BIKE,False,True,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
683266,CR-0000092854,0,0,0,0,22-201-0463,False,False,0.0,7/20/2022 1:05:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,True,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
683284,CR-0000092815,0,0,0,0,22-116-0151,False,False,59.0,4/26/2022 8:18:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,True,True,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
696496,CR-0000099683,0,1,0,0,23-352-0210,False,False,0.0,12/18/2023 8:03:00 AM,No Pedestrians Involved,Wet,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Rain,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,BIKE,False,True,97019,OBERT DR,SNELL AV,37.26168754,-121.8309082
689239,CR-0000095198,0,0,0,0,22-302-0756,True,False,28.0,10/29/2022 7:21:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Unknown,Controls Functioning,Clear,Hit Object,Related,Fixed Object,Not Applicable,Not Applicable,West Of,SIGNAL POLE,False,True,11142,AVENIDA ESPANA,SANTA TERESA BL,37.22405549,-121.7672379
691397,CR-0000097646,0,0,0,0,23-064-0755,False,False,230.0,3/5/2023 10:04:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,North Of,,False,True,33351,CARLSBAD DR,TUCSON DR,37.24728967,-121.8761771
690975,CR-0000097146,0,0,0,0,23-049-0866,False,False,19.0,2/18/2023 9:50:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Head On,Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,False,True,33362,CARLSBAD DR,VIA MONTE DR,37.24690623,-121.8776661
711771,CR-0000101528,0,0,0,0,23-361-0176,False,False,0.0,12/27/2023 7:50:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Cloudy,Head On,Intersection,Parked Vehicle,Not Applicable,Not Applicable,At,,True,True,3904,ALLENWOOD CT,ALLENWOOD DR,37.32671162,-121.7948844
682961,CR-0000092538,0,0,0,0,22-162-0414,False,False,90.0,6/11/2022 5:00:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dusk - Dawn,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,West Of,,False,True,84237,LINKSHEAD CT,STEVENS LN,37.32096468,-121.7897
720948,CR-0000103183,0,0,0,0,24-049-0802,False,False,22.0,2/18/2024 11:25:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Rain,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,True,True,94104,MT LASSEN DR,MT LOGAN DR,37.3529173,-121.8084009
719749,CR-0000102922,0,0,0,0,24-020-0059,False,False,190.0,1/20/2024 1:34:00 AM,No Pedestrians Involved,Wet,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Rain,Broadside,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,West Of,,True,True,18314,BIKINI AV,KILCHOAN WY,37.32395216,-121.8391288
688781,CR-0000094625,0,0,0,0,22-294-4004,False,True,51.0,10/21/2022 9:28:00 AM,No Pedestrians Involved,Unknown,Unknown,Daylight,Unknown,Unknown,Unknown,Other,Non-Related,Unknown,Not Applicable,Not Applicable,South Of,,False,True,70290,HAPPY VALLEY AV,WILLIAMS RD,37.30855925,-121.9899484
