"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment","SpeedingFlag","HitAndRunFlag","IntersectionNumber","AStreetName","BStreetName","Latitude","Longitude"
"711523","CR-0000101025","0","0","0","0","23-256-0516","False","False","190.0","9/13/2023 3:10:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","East Of","","False","True","102541","QUIMBY RD","WHITE RD","37.32491777","-121.7969574"
"696496","CR-0000099683","0","1","0","0","23-352-0210","False","False","0.0","12/18/2023 8:03:00 AM","No Pedestrians Involved","Wet","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Rain","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At","BIKE","False","True","97019","OBERT DR","SNELL AV","37.26168754","-121.8309082"
"691397","CR-0000097646","0","0","0","0","23-064-0755","False","False","230.0","3/5/2023 10:04:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of","","False","True","33351","CARLSBAD DR","TUCSON DR","37.24728967","-121.8761771"
"690975","CR-0000097146","0","0","0","0","23-049-0866","False","False","19.0","2/18/2023 9:50:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Related","Parked Vehicle","Not Applicable","Not Applicable","East Of","","False","True","33362","CARLSBAD DR","VIA MONTE DR","37.24690623","-121.8776661"
"711771","CR-0000101528","0","0","0","0","23-361-0176","False","False","0.0","12/27/2023 7:50:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Cloudy","Head On","Intersection","Parked Vehicle","Not Applicable","Not Applicable","At","","True","True","3904","ALLENWOOD CT","ALLENWOOD DR","37.32671162","-121.7948844"
"711524","CR-0000100847","0","0","0","0","23-185-0497","False","False","54.0","7/2/2023 3:40:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of","","False","True","109086","SIERRA VISTA PL","VISTA DEL SOL","37.35830462","-121.8352961"
"695843","CR-0000098908","0","0","0","0","23-106-0860","False","False","30.0","4/16/2023 11:50:00 PM","No Pedestrians Involved","Dry","Unknown","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Related","Parked Vehicle","Not Applicable","Not Applicable","South Of","","False","True","52777","DUBERT LN","SANTEE DR","37.32821739","-121.8455087"
"697614","CR-0000099810","0","0","0","0","23-225-0817","False","False","327.0","8/13/2023 9:06:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of","","False","True","107128","SANTA CLARA ST","THIRTEENTH ST","37.34209343","-121.8780864"
"699050","CR-0000100356","0","0","0","0","23-182-0133","False","False","80.0","7/1/2023 2:20:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of","","True","True","55857","ELEVENTH ST","SANTA CLARA ST","37.34119288","-121.8799863"
"694033","CR-0000097947","0","0","0","0","23-090-0887","True","False","0.0","3/31/2023 8:39:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Unknown","Clear","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","PED RAIL BUS STOP","False","True","55857","ELEVENTH ST","SANTA CLARA ST","37.34119288","-121.8799863"
